City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
485,niquero,20.04,-77.58,79.3,52,0,8.21,CU,1579974354
486,yining,29.04,114.56,39.69,96,100,0.87,CN,1579974354
487,nagar,27.43,77.1,52.88,56,0,2.19,IN,1579974354
488,verkhnyaya inta,65.98,60.31,-9.89,99,94,1.68,RU,1579974355
489,letpadan,17.78,95.75,61.29,35,26,2.46,MM,1579974355
490,bud,39.45,-86.18,35.01,94,100,5.99,US,1579974355
491,shieli,44.17,66.75,27.46,82,92,5.44,KZ,1579974355
492,kajaani,64.17,27.67,16.59,93,2,4.27,FI,1579974355
493,palu,-0.89,119.87,67.95,93,45,2.17,ID,1579974356
494,ouadda,8.08,22.4,69.01,23,100,5.01,CF,1579974356
495,cap malheureux,-19.98,57.61,78.01,80,86,3,MU,1579974173
496,kouqian,43.64,126.46,1.62,83,0,1.86,CN,1579974357
497,vestmanna,62.16,-7.17,44.28,86,100,22.68,FO,1579974357
498,kolosovka,56.47,73.61,-1.75,95,88,10.74,RU,1579974357
499,onomichi,34.42,133.2,43,92,100,3.42,JP,1579974357
500,tabalosos,-6.35,-76.68,84.36,58,100,3.44,PE,1579974357
501,aklavik,68.22,-135.01,-14.57,94,100,22.55,CA,1579974242
502,mitsamiouli,-11.38,43.28,78.48,85,100,15.35,KM,1579974358
503,challans,46.84,-1.87,48,94,57,6.87,FR,1579974358
504,itaquyry,-24.93,-55.22,92.82,34,0,1.63,PY,1579974359
505,kiunga,-6.12,141.29,72.86,98,100,0.74,PG,1579974359
506,ust-nera,64.57,143.2,-48.46,100,46,0.94,RU,1579974359
507,freeport,40.66,-73.58,48,87,90,19.46,US,1579974359
508,road town,18.42,-64.62,82.99,81,62,3,VG,1579974207
509,mehamn,71.04,27.85,18.19,71,100,9.75,NO,1579974360
510,ternate,0.8,127.4,75.79,90,55,1.81,ID,1579974209
511,uyuni,-20.46,-66.83,69.12,13,17,10.65,BO,1579974360
512,lingao,19.91,109.69,63.45,94,99,25.08,CN,1579974360
513,tabas,33.6,56.92,45.82,50,0,3.56,IR,1579974360
514,salaga,8.55,-0.52,90.95,6,5,3.02,GH,1579974361
515,ordzhonikidze,52.44,61.74,17.35,87,100,20.4,KZ,1579974361
516,svobodnyy,51.4,128.13,-16.89,99,55,4.27,RU,1579974361
517,storforshei,66.4,14.52,21.99,96,100,1.99,NO,1579974361
518,yerbogachen,61.28,108.01,13.53,97,99,5.3,RU,1579974362
519,letlhakane,-21.42,25.58,77,57,35,7.11,BW,1579974362
520,roma,43.21,-75.46,37.99,95,90,18.34,US,1579974298
521,cairns,-16.92,145.77,78.01,97,99,7.02,AU,1579974164
522,falun,60.6,15.63,36,78,100,8.77,SE,1579974362
523,lagoa,39.05,-27.98,58.39,72,100,12.68,PT,1579974064
524,mayor pablo lagerenza,-19.93,-60.77,100.85,19,39,6.67,PY,1579974363
525,maceio,-9.67,-35.74,81.68,80,60,13.67,BR,1579974327
526,maldonado,-34.67,-54.92,85.28,29,70,13.04,UY,1579974363
527,bousso,10.48,16.71,75.43,9,16,5.59,TD,1579974364
528,ostrovnoy,68.05,39.51,3.47,97,98,5.19,RU,1579974187
529,riyadh,24.69,46.72,51.98,32,0,12.84,SA,1579974144
530,pringsewu,-5.36,104.97,73.81,85,86,1.36,ID,1579974329
531,raga,8.46,25.68,67.91,20,62,5.03,SS,1579974364
532,ironton,38.54,-82.68,44.01,70,97,5.99,US,1579974365
533,rock sound,24.9,-76.2,72.84,65,30,2.48,BS,1579974365
534,kontagora,10.4,5.47,80.38,6,27,7.47,NG,1579974365
535,pakxan,18.38,103.66,65.25,87,31,3.76,LA,1579974365
536,masterton,-40.96,175.66,64,86,0,2.19,NZ,1579974366
537,marystown,47.17,-55.15,25.77,67,2,11.03,CA,1579974366
538,yuzha,56.58,42.01,27.37,79,99,12.24,RU,1579974366
539,antalaha,-14.9,50.28,80.92,72,99,21.03,MG,1579974366
